prospect_id,player_name,rank_overall,delta_rank,score,delta_score,tier,coverage_count,delta_coverage,momentum_rank_3,momentum_score_3,volatility_rank_mad_3,volatility_rank_std_3,momentum_chip,volatility_chip,confidence_score,confidence_band,confidence_reasons_json,confidence_coverage_pct,confidence_rank_std,confidence_rank_mad,confidence_sources_present,confidence_active_sources
1,Fernando Mendoza,1,0,98.9716,0.0,Elite,12,0,0,0.0,0.0,0.0,Stable,Calm,70.9,High,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,1.5427784316797402,1.43801652892562,11,11
5,Caleb Downs,2,0,97.9973,0.0,Elite,12,0,0,0.0,0.0,0.0,Stable,Calm,70.9,High,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,1.6663911618021234,1.371900826446281,11,11
6,Jeremiyah Love,3,0,96.6322,0.0,Elite,11,0,0,0.0,0.0,0.0,Stable,Calm,70.0,High,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,3.8203457071728533,2.892561983471074,11,11
4,David Bailey,4,0,95.8258,0.0,Elite,9,0,0,0.0,0.0,0.0,Stable,Calm,69.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,4.769046199492364,4.115702479338843,11,11
7,Carnell Tate,5,0,94.9119,0.0,Elite,10,0,0,0.0,0.0,0.0,Stable,Calm,70.8,High,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,1.776801844153824,1.5041322314049588,11,11
18,Spencer Fano,6,0,94.7799,0.0,Elite,6,0,0,0.0,0.0,0.0,Stable,Calm,69.9,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,3.6792920626996475,3.173553719008264,11,11
10,Mansoor Delane,7,0,90.6648,0.0,Elite,7,0,0,0.0,0.0,0.0,Stable,Calm,62.8,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,3.867815921162743,3.3600000000000003,10,11
3,Arvell Reese,8,0,90.2269,0.0,Elite,10,0,0,0.0,0.0,0.0,Stable,Calm,56.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,2.3622546250521443,2.074074074074074,9,11
12,Jermod Mccoy,9,0,88.5806,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,62.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,5.139066063011839,4.3,10,11
14,Jordyn Tyson,10,0,87.628,0.0,Strong,4,0,0,0.0,0.0,0.0,Stable,Calm,62.6,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,4.5,3.4,10,11
8,Sonny Styles,11,0,87.3677,0.0,Strong,7,0,0,0.0,0.0,0.0,Stable,Calm,55.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,5.258737584977436,3.259259259259259,9,11
9,Makai Lemon,12,0,87.1579,0.0,Strong,5,0,0,0.0,0.0,0.0,Stable,Calm,62.1,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,5.882176467941097,4.4,10,11
24,Kenyon Sadiq,13,0,85.7256,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,62.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,4.8999999999999995,3.7600000000000002,10,11
28,KC Concepcion,14,0,85.6107,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,68.9,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,6.772574738977881,4.644628099173554,11,11
29,Caleb Lomu,15,0,83.7979,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,67.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,10.216661161517308,8.297520661157025,11,11
27,CJ Allen,16,0,83.0711,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,62.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,5.723635208501674,4.32,10,11
16,Keldric Faulk,17,0,82.9307,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,60.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,9.77547952787995,8.120000000000001,10,11
20,Denzel Boston,18,0,82.6102,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,61.7,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,6.9144775652250114,5.5,10,11
25,Kadyn Proctor,19,0,82.17,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,61.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,7.905061669588669,6.5200000000000005,10,11
19,Avieon Terrell,20,0,82.0819,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,55.1,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,6.032831982443657,4.345679012345679,9,11
15,Cashius Howell,21,0,80.2292,0.0,Strong,,,0,0.0,0.0,0.0,Stable,Calm,60.6,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,9.651942809610922,8.0,10,11
48,Colton Hood,22,0,79.6223,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,53.8,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,9.225568335398698,8.0,9,11
31,Monroe Freeling,23,0,79.5919,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,60.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,10.609429767899874,8.92,10,11
39,Dillon Thieneman,24,0,78.7256,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,65.0,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,17.494272970799887,11.438016528925623,11,11
32,Brandon Cisse,25,0,78.2081,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,53.9,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,10.188349676753466,6.913580246913579,9,11
34,Ty Simpson,26,0,76.83,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,61.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,7.19444229944198,6.04,10,11
46,Zion Young,27,0,75.168,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,64.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,18.815326968342056,12.991735537190083,11,11
40,Anthony Hill,28,0,74.7822,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,53.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,10.903618155864084,8.296296296296298,9,11
44,Emmanuel Pregnon,29,0,74.4821,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,66.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,13.328029248030768,9.818181818181818,11,11
41,Omar Cooper,30,0,73.9753,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,51.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,17.60751803514694,12.938271604938272,9,11
449,Rueben Bain,31,0,73.2647,0.0,Playable,7,0,0,0.0,0.0,0.0,Stable,Calm,45.9,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.6363636363636364,2.7255405754769875,2.2857142857142856,7,11
22,Olaivavega Ioane,32,0,73.1937,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,41.1,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.6363636363636364,5.903993805649092,4.0,7,11
38,R Mason Thomas,33,0,73.1445,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,54.8,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,6.226189211609734,5.45679012345679,9,11
59,Chris Johnson,34,0,72.7112,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,54.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,7.704415921493207,6.172839506172839,9,11
456,Caleb Banks,35,0,71.6899,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,57.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,9.775252199076787,9.11111111111111,9,11
450,Francis Mauigoa,36,0,71.2793,0.0,Playable,6,0,0,0.0,0.0,0.0,Stable,Calm,46.1,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.6363636363636364,2.0603150145508513,1.7959183673469388,7,11
452,Kayden Mcdonald,37,0,69.9151,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,52.2,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,5.818880906153691,4.375,8,11
89,Chris Brazzell,38,0,69.5805,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,64.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,17.907937203263614,14.132231404958679,11,11
35,Emmanuel Mcneil-warren,39,0,69.4355,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,57.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,10.85254706406647,9.11111111111111,9,11
52,Blake Miller,40,0,68.8807,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,53.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,11.169844766099725,8.345679012345679,9,11
37,Chris Bell,41,0,68.8615,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,65.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",1.0,16.70749819296021,10.677685950413222,11,11
55,D'Angelo Ponds,42,0,68.5118,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,47.1,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,9.068317098558033,7.28125,8,11
47,Max Iheanachor,43,0,68.3611,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,52.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,15.391997279330372,10.716049382716049,9,11
76,Zachariah Branch,44,0,68.1939,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,50.9,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,17.338318371474706,15.358024691358025,9,11
641,Peter Woods,45,0,68.1775,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,48.4,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Tight rank agreement""]",0.6363636363636364,7.905048761289669,6.244897959183674,7,11
51,Jake Golday,46,0,67.8874,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,52.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,13.450411898782638,11.283950617283951,9,11
57,Germie Bernard,47,0,66.7577,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,46.6,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,11.146748404803978,8.25,8,11
54,Chase Bisontis,48,0,66.6749,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,50.7,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,19.588986575668695,14.74074074074074,9,11
23,T.j.parker,49,0,66.4655,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,50.0,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,23.142606744132785,16.024691358024693,9,11
36,Keith Abney,50,0,66.2826,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,43.0,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,24.767670459694024,17.9375,8,11
63,Joshua Josephs,51,0,65.7613,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,41.5,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,30.894730537747048,21.96875,8,11
67,Elijah Sarratt,52,0,65.6954,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,59.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,12.712592182556632,10.1,10,11
454,Christen Miller,53,0,65.327,0.0,Playable,,,0,0.0,0.0,0.0,Stable,Calm,57.0,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,11.596082778355333,9.308641975308642,9,11
457,Akheem Mesidor,54,0,64.7439,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,43.2,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.6363636363636364,13.668076914131419,9.755102040816325,7,11
458,Lee Hunter,55,0,64.5029,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,49.5,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,14.033442200686189,11.1875,8,11
42,Gabe Jacas,56,0,64.1741,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,52.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,14.589020055262091,10.91358024691358,9,11
85,Malachi Fields,57,0,64.0936,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,42.5,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Moderate rank dispersion""]",0.8181818181818182,51.38093031466052,33.111111111111114,9,11
62,Josiah Trotter,58,0,63.3124,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,52.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,16.200137173630488,10.518518518518517,9,11
61,Jadarian Price,59,0,63.2007,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,58.1,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,18.093092604637828,12.16,10,11
53,Romello Height,60,0,62.4938,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,51.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.9090909090909091,35.67422038391309,28.5,10,11
65,Connor Lew,61,0,62.2544,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,40.2,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.6363636363636364,8.3397254396151,7.551020408163265,7,11
123,Davison Igbinosun,62,0,61.4232,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,47.8,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Moderate rank dispersion""]",0.9090909090909091,42.44949940812023,38.56,10,11
82,Devin Moore,63,0,61.1187,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,52.3,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,14.520313570058999,11.135802469135804,9,11
97,Antonio Williams,64,0,60.6352,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,50.4,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,18.229673273383728,16.76543209876543,9,11
91,Kyle Louis,65,0,60.3922,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,45.2,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Moderate rank dispersion""]",0.8181818181818182,34.17204113104349,30.469135802469136,9,11
56,Caleb Tiernan,66,0,60.0272,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,44.6,Medium,"[""Moderate coverage"", ""Moderate quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.7272727272727273,18.653082855120758,13.4375,8,11
60,Derrick Moore,67,0,59.9164,0.0,Watch,,,0,0.0,0.0,0.0,Stable,Calm,50.8,Medium,"[""High coverage"", ""High quality-weighted coverage"", ""Noisy sources present"", ""Tight rank agreement""]",0.8181818181818182,19.3282241013907,14.617283950617283,9,11
